title,description,category,safety_label,impact_meals
Ikan mentah pickup cepat,Tidak ada es dan bau amis kuat prioritas ambil hari ini,food,risky,0
Paket lauk matang pickup cepat,Ayam tempe sayur baru selesai dimasak prioritas ambil hari ini,food,safe,4
Roti tawar sealed,Masih segel beli kemarin malam pickup hari ini,food,safe,3
Stoples kaca area kampus,Jar bekas selai sudah dicuci lokasi dekat kampus,non_food,safe,0
Wanted tote bag pickup cepat,Cari tote bag belanja tanpa plastik prioritas ambil hari ini,non_food,safe,0
Kopi sachet,Kemasan masih rapi dan belum expired,food,safe,1
Donat box,Sisa meeting pagi kemasan bersih,food,safe,4
Susu terbuka area kampus,Sudah dibuka dua hari di suhu ruang lokasi dekat kampus,food,risky,0
Nasi bungkus,Tidak jelas dibuat kapan,food,risky,1
Sup sisa area kampus,Tersimpan suhu ruang lebih dari semalam lokasi dekat kampus,food,risky,0
Forum tips kompos,Diskusi cara mengolah sampah organik,non_food,safe,0
Roti gandum area kampus,Baru dibeli dan kemasan utuh lokasi dekat kampus,food,safe,3
Bubur kacang hijau pickup cepat,Dimasak pagi dan masih hangat prioritas ambil hari ini,food,safe,3
Daging mentah pickup cepat,Raw food tanpa pendingin dari pagi prioritas ambil hari ini,food,risky,0
Sayur layu,Warna berubah dan tekstur lembek,food,risky,1
Komposter mini pickup cepat,Alat kompos rumahan masih jalan prioritas ambil hari ini,non_food,safe,0
Bento ayam matang area kampus,Masakan hari ini jam 12 kemasan tertutup lokasi dekat kampus,food,safe,2
Susu UHT kotak area kampus,Belum dibuka tanggal masih aman lokasi dekat kampus,food,safe,2
Kue basi,Tercium bau asam dan tekstur berubah,food,risky,0
Mie instan pickup cepat,Kemasan utuh exp tahun depan prioritas ambil hari ini,food,safe,2
Sayur layu area kampus,Warna berubah dan tekstur lembek lokasi dekat kampus,food,risky,1
Susu terbuka pickup cepat,Sudah dibuka dua hari di suhu ruang prioritas ambil hari ini,food,risky,0
Sendok garpu,Set alat makan stainless,non_food,safe,0
Buah busuk area kampus,Ada bagian hitam lembek dan bau lokasi dekat kampus,food,risky,0
Roti sobek area kampus,Masih lembut dibuat pagi ini lokasi dekat kampus,food,safe,3
Tote bag polos pickup cepat,Tas belanja kain masih bagus prioritas ambil hari ini,non_food,safe,0
Makanan basah,Kemasan bocor dan berbau,food,risky,0
Makanan expired pickup cepat,Tanggal kadaluarsa sudah lewat prioritas ambil hari ini,food,risky,0
Paket lauk matang area kampus,Ayam tempe sayur baru selesai dimasak lokasi dekat kampus,food,safe,4
Kardus pindahan area kampus,Box bersih bisa dipakai ulang lokasi dekat kampus,non_food,safe,0
Roti tawar sealed pickup cepat,Masih segel beli kemarin malam pickup hari ini prioritas ambil hari ini,food,safe,3
Lunch box reusable,Bersih jarang dipakai cocok meal prep,non_food,safe,0
Bubur kacang hijau area kampus,Dimasak pagi dan masih hangat lokasi dekat kampus,food,safe,3
Nasi box event,Baru dibagikan siang ini kemasan tertutup,food,safe,4
Paket buah fresh pickup cepat,Apel jeruk masih fresh dan bersih prioritas ambil hari ini,food,safe,3
Ikan mentah area kampus,Tidak ada es dan bau amis kuat lokasi dekat kampus,food,risky,0
Nasi bungkus pickup cepat,Tidak jelas dibuat kapan prioritas ambil hari ini,food,risky,1
Tote bag polos area kampus,Tas belanja kain masih bagus lokasi dekat kampus,non_food,safe,0
Sayur organik area kampus,Sisa belanja pagi masih segar belum dimasak lokasi dekat kampus,food,safe,3
Nasi bungkus area kampus,Tidak jelas dibuat kapan lokasi dekat kampus,food,risky,1
Sayur organik,Sisa belanja pagi masih segar belum dimasak,food,safe,3
Komposter mini,Alat kompos rumahan masih jalan,non_food,safe,0
Buah busuk,Ada bagian hitam lembek dan bau,food,risky,0
